# x[mm]	L[um]	t[s]	stress[Pa]
3.138800243740716311e+00	7.389056098930649341e+02	2.319277108433732623e-02	-0.000000000000000000e+00
3.159182063505266758e+00	7.389056098930649341e+02	2.334337349397588163e-02	-0.000000000000000000e+00
3.179563883269816316e+00	7.389056098930649341e+02	2.349397590361443355e-02	-0.000000000000000000e+00
3.199945703034366318e+00	7.389056098930649341e+02	2.364457831325298201e-02	-0.000000000000000000e+00
3.220327522798916764e+00	7.389056098930649341e+02	2.379518072289154088e-02	-0.000000000000000000e+00
3.240709342563466766e+00	7.389056098930649341e+02	2.394578313253008933e-02	-0.000000000000000000e+00
3.261091162328017212e+00	7.389056098930649341e+02	2.409638554216864820e-02	-0.000000000000000000e+00
3.281472982092567214e+00	7.389056098930649341e+02	2.424698795180719665e-02	-0.000000000000000000e+00
3.301854801857117216e+00	7.389056098930649341e+02	2.439759036144574858e-02	-0.000000000000000000e+00
3.322236621621667663e+00	7.389056098930649341e+02	2.454819277108430398e-02	-0.000000000000000000e+00
3.342618441386217221e+00	7.389056098930649341e+02	2.469879518072285590e-02	-0.000000000000000000e+00
3.363000261150767223e+00	7.389056098930649341e+02	2.484939759036140783e-02	-0.000000000000000000e+00
3.383382080915317669e+00	7.389056098930649341e+02	2.499999999999996322e-02	-0.000000000000000000e+00
3.403763900679867671e+00	7.389056098930649341e+02	2.515060240963851515e-02	-0.000000000000000000e+00
3.424145720444417673e+00	7.389056098930649341e+02	2.530120481927706708e-02	-0.000000000000000000e+00
3.444527540208968119e+00	7.389056098930649341e+02	2.545180722891562247e-02	-0.000000000000000000e+00
3.464909359973518121e+00	7.389056098930649341e+02	2.560240963855417440e-02	-0.000000000000000000e+00
3.485291179738068124e+00	7.389056098930649341e+02	2.575301204819272632e-02	-0.000000000000000000e+00
3.505672999502618126e+00	7.389056098930649341e+02	2.590361445783128172e-02	-0.000000000000000000e+00
3.526054819267168128e+00	7.389056098930649341e+02	2.605421686746983365e-02	-0.000000000000000000e+00
3.546436639031718574e+00	7.389056098930649341e+02	2.620481927710838904e-02	-0.000000000000000000e+00
3.566818458796268576e+00	7.389056098930649341e+02	2.635542168674694097e-02	-0.000000000000000000e+00
3.587200278560818578e+00	7.389056098930649341e+02	2.650602409638549289e-02	-0.000000000000000000e+00
3.607582098325369024e+00	7.389056098930649341e+02	2.665662650602404829e-02	-0.000000000000000000e+00
3.627963918089919026e+00	7.389056098930649341e+02	2.680722891566260022e-02	-0.000000000000000000e+00
3.648345737854469029e+00	7.389056098930649341e+02	2.695783132530114867e-02	-0.000000000000000000e+00
3.668727557619019031e+00	7.389056098930649341e+02	2.710843373493970754e-02	-0.000000000000000000e+00
3.689109377383569033e+00	7.389056098930649341e+02	2.725903614457825599e-02	-0.000000000000000000e+00
3.709491197148119035e+00	7.389056098930649341e+02	2.740963855421680792e-02	-0.000000000000000000e+00
3.729873016912669481e+00	7.389056098930649341e+02	2.756024096385536332e-02	-0.000000000000000000e+00
3.750254836677219483e+00	7.389056098930649341e+02	2.771084337349391524e-02	-0.000000000000000000e+00
3.770636656441769485e+00	7.389056098930649341e+02	2.786144578313246717e-02	-0.000000000000000000e+00
3.791018476206319932e+00	7.389056098930649341e+02	2.801204819277102256e-02	-0.000000000000000000e+00
3.811400295970869934e+00	7.389056098930649341e+02	2.816265060240957449e-02	-0.000000000000000000e+00
3.831782115735419936e+00	7.389056098930649341e+02	2.831325301204812989e-02	-0.000000000000000000e+00
3.852163935499969938e+00	7.389056098930649341e+02	2.846385542168668181e-02	-0.000000000000000000e+00
3.872545755264519940e+00	7.389056098930649341e+02	2.861445783132523374e-02	-0.000000000000000000e+00
3.892927575029070386e+00	7.389056098930649341e+02	2.876506024096378913e-02	-6.507022081597635220e-16
3.913309394793619944e+00	7.389056098930649341e+02	2.891566265060234106e-02	6.507022081597635220e-16
3.933691214558170390e+00	7.389056098930649341e+02	2.906626506024089646e-02	-0.000000000000000000e+00
3.954073034322720837e+00	7.389056098930649341e+02	2.921686746987945185e-02	-0.000000000000000000e+00
3.974454854087270839e+00	7.389056098930649341e+02	2.936746987951800725e-02	-6.507022081597635220e-16
3.994836673851820397e+00	7.389056098930649341e+02	2.951807228915655917e-02	6.507022081597635220e-16
4.015218493616370843e+00	7.389056098930649341e+02	2.966867469879511457e-02	-0.000000000000000000e+00
4.035600313380921733e+00	7.389056098930649341e+02	2.981927710843366996e-02	-6.507022081597635220e-16
4.055982133145470847e+00	7.389056098930649341e+02	2.996987951807222189e-02	6.507022081597635220e-16
4.076363952910020849e+00	7.389056098930649341e+02	3.012048192771077729e-02	-0.000000000000000000e+00
4.096745772674571739e+00	7.389056098930649341e+02	3.027108433734933268e-02	-6.507022081597635220e-16
4.117127592439120853e+00	7.389056098930649341e+02	3.042168674698788461e-02	6.507022081597635220e-16
4.137509412203671744e+00	7.389056098930649341e+02	3.057228915662644000e-02	-0.000000000000000000e+00
4.157891231968221746e+00	7.389056098930649341e+02	3.072289156626499540e-02	-6.507022081597635220e-16
4.178273051732771748e+00	7.389056098930649341e+02	3.087349397590354733e-02	6.507022081597635220e-16
4.198654871497321750e+00	7.389056098930649341e+02	3.102409638554210272e-02	-0.000000000000000000e+00
4.219036691261871752e+00	7.389056098930649341e+02	3.117469879518066159e-02	-6.507022081597635220e-16
4.239418511026421754e+00	7.389056098930649341e+02	3.132530120481921004e-02	6.507022081597635220e-16
4.259800330790971756e+00	7.389056098930649341e+02	3.147590361445776891e-02	-0.000000000000000000e+00
4.280182150555522647e+00	7.389056098930649341e+02	3.162650602409632083e-02	-6.507022081597635220e-16
4.300563970320071761e+00	7.389056098930649341e+02	3.177710843373487276e-02	6.507022081597635220e-16
4.320945790084622651e+00	7.389056098930649341e+02	3.192771084337343163e-02	-0.000000000000000000e+00
4.341327609849172653e+00	7.389056098930649341e+02	3.207831325301198355e-02	-6.507022081597635220e-16
4.361709429613722655e+00	7.389056098930649341e+02	3.222891566265053548e-02	6.507022081597635220e-16
4.382091249378272657e+00	7.389056098930649341e+02	3.237951807228909434e-02	-0.000000000000000000e+00
4.402473069142822659e+00	7.389056098930649341e+02	3.253012048192764627e-02	-6.507022081597635220e-16
4.422854888907372661e+00	7.389056098930649341e+02	3.268072289156619820e-02	6.507022081597635220e-16
4.443236708671922663e+00	7.389056098930649341e+02	3.283132530120475706e-02	-0.000000000000000000e+00
4.463618528436473554e+00	7.389056098930649341e+02	3.298192771084330899e-02	-0.000000000000000000e+00
4.484000348201023556e+00	7.389056098930649341e+02	3.313253012048186785e-02	-6.507022081597635220e-16
4.504382167965573558e+00	7.389056098930649341e+02	3.328313253012041978e-02	6.507022081597635220e-16
4.524763987730123560e+00	7.389056098930649341e+02	3.343373493975897170e-02	-0.000000000000000000e+00
4.545145807494673562e+00	7.389056098930649341e+02	3.358433734939753057e-02	-6.507022081597635220e-16
4.565527627259223564e+00	7.389056098930649341e+02	3.373493975903608250e-02	6.507022081597635220e-16
4.585909447023773566e+00	7.389056098930649341e+02	3.388554216867464136e-02	-0.000000000000000000e+00
4.606291266788324457e+00	7.389056098930649341e+02	3.403614457831319329e-02	-6.507022081597635220e-16
4.626673086552873571e+00	7.389056098930649341e+02	3.418674698795174521e-02	6.507022081597635220e-16
4.647054906317424461e+00	7.389056098930649341e+02	3.433734939759030408e-02	-0.000000000000000000e+00
4.667436726081974463e+00	7.389056098930649341e+02	3.448795180722885600e-02	-6.507022081597635220e-16
4.687818545846524465e+00	7.389056098930649341e+02	3.463855421686740793e-02	6.507022081597635220e-16
